,Accuracy,F1,AUC
RandomForest,0.8928571428571429,0.8887955182072829,0.9479223125564589
XGB,0.7321428571428571,0.6189248895434462,0.828319783197832
SVM,0.7291666666666666,0.6228341411777815,0.7214092140921409
LogisticRegression,0.4017857142857143,0.379867818335073,0.6241192411924119
